               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099223,            0.062864,            0.035722,             0.77136,            0.094189,            0.085814,            0.039914,            0.070926,            0.042274,            0.022472,            0.067049,          0.00033284,          0.00033284
                   1,            0.072917,            0.055633,            0.023752,             0.83373,             0.12663,             0.12955,            0.060131,            0.060299,            0.039313,            0.015538,            0.033983,          0.00060022,          0.00060022
                   2,            0.066315,            0.055014,            0.019422,             0.69183,             0.14146,             0.16048,             0.07352,            0.055453,             0.03895,            0.012871,          0.00085121,           0.0008016,           0.0008016
                   3,            0.061821,            0.055209,            0.017594,             0.64476,             0.19438,              0.2077,            0.095759,            0.051482,            0.037969,            0.011426,            0.000703,            0.000703,            0.000703
                   4,            0.059471,            0.054199,            0.016462,             0.65178,             0.20321,             0.22895,             0.10994,            0.049464,            0.037361,            0.010592,            0.000703,            0.000703,            0.000703
                   5,            0.057574,             0.05387,            0.015651,             0.66904,             0.20683,             0.24985,             0.12488,            0.048035,             0.03663,           0.0098655,            0.000604,            0.000604,            0.000604
                   6,             0.05632,            0.052927,             0.01486,             0.70012,             0.22818,             0.27236,              0.1399,             0.04733,             0.03644,           0.0094425,            0.000505,            0.000505,            0.000505
                   7,            0.055359,            0.052628,             0.01413,             0.74293,             0.25857,             0.29572,             0.15478,            0.046533,            0.036201,           0.0089875,            0.000406,            0.000406,            0.000406
                   8,            0.054732,             0.05249,            0.013592,             0.74759,             0.26111,             0.30368,             0.15952,            0.046075,            0.035958,           0.0086917,            0.000307,            0.000307,            0.000307
                   9,            0.054129,            0.052535,            0.013121,             0.77535,              0.2618,              0.3098,             0.16479,            0.045765,            0.035874,           0.0083285,            0.000208,            0.000208,            0.000208
